🕘️更新时间,#genre#
2025-10-11 18:53:28,http://php.cqshushu.ggff.net/jzb.php?id=cctv2&公众号【医工学习日志】$订阅源

📺央视频道,#genre#
CCTV-2,http://php.cqshushu.ggff.net/jzb.php?id=cctv2&公众号【医工学习日志】$订阅源
CCTV-2,http://php.cqshushu.ggff.net/jzb.php?id=cctv2&公众号【医工学习日志】$订阅源
CCTV-2,http://116.128.242.83:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV-2,http://116.128.242.83:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV-3,http://php.cqshushu.ggff.net/jzb.php?id=cctv3&公众号【医工学习日志】$订阅源
CCTV-3,http://116.128.242.83:9901/tsfile/live/0003_2.m3u8$订阅源
CCTV-3,http://61.156.228.12:8154/tsfile/live/0003_1.m3u8$订阅源
CCTV-3,http://61.156.228.12:8154/tsfile/live/0003_1.m3u8$订阅源
CCTV-3,http://1b6467f415.iok.la:9931/tsfile/live/1022_1.m3u8$订阅源
CCTV-3,http://1b6467f415.iok.la:9931/tsfile/live/1022_1.m3u8$订阅源
CCTV-3,http://61.136.172.236:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://61.136.172.236:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-4,http://116.128.242.83:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-4,http://120.238.94.10:9901/tsfile/live/1021_1.m3u8$订阅源
CCTV-4,http://120.238.94.10:9901/tsfile/live/1021_1.m3u8$订阅源
CCTV-4,http://112.27.235.94:8000/hls/4/index.m3u8$订阅源
CCTV-4,http://112.27.235.94:8000/hls/4/index.m3u8$订阅源
CCTV-4,http://61.156.228.12:8154/tsfile/live/0004_1.m3u8$订阅源
CCTV-4,http://123.129.70.178:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-4,http://123.129.70.178:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5,http://php.cqshushu.ggff.net/jzb.php?id=cctv5&公众号【医工学习日志】$订阅源
CCTV-5,https://ldcctvwbcdbd.a.bdydns.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?BR=td$订阅源
CCTV-5,https://ldcctvwbcdbd.a.bdydns.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?BR=td$订阅源
CCTV-5,http://124.116.183.146:9901/tsfile/live/0005_1.m3u8$订阅源
CCTV-5,http://124.116.183.146:9901/tsfile/live/0005_1.m3u8$订阅源
CCTV-5,http://223.241.247.214:9901/tsfile/live/0005_1.m3u8$订阅源
CCTV-5,http://223.241.247.214:9901/tsfile/live/0005_1.m3u8$订阅源
CCTV-5,http://116.128.242.83:9901/tsfile/live/0006_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$订阅源
CCTV-5+,http://183.215.134.239:19901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5+,http://183.215.134.239:19901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5+,http://222.169.85.8:9901/tsfile/live/0116_1.m3u8$订阅源
CCTV-5+,http://222.169.85.8:9901/tsfile/live/0116_1.m3u8$订阅源
CCTV-5+,http://116.128.242.83:9901/tsfile/live/0005_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$订阅源
CCTV-5+,http://120.238.94.10:9901/tsfile/live/1023_1.m3u8$订阅源
CCTV-5+,http://112.27.235.94:8000/hls/6/index.m3u8$订阅源
CCTV-5+,http://123.129.70.178:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-6,http://php.cqshushu.ggff.net/jzb.php?id=cctv6&公众号【医工学习日志】$订阅源
CCTV-6,http://124.116.183.146:9901/tsfile/live/0006_1.m3u8$订阅源
CCTV-6,http://223.241.247.214:9901/tsfile/live/0006_1.m3u8$订阅源
CCTV-6,http://222.169.85.8:9901/tsfile/live/0006_1.m3u8?key=txiptv$订阅源
CCTV-6,http://116.128.242.83:9901/tsfile/live/0007_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$订阅源
CCTV-6,http://112.27.235.94:8000/hls/7/index.m3u8$订阅源
CCTV-6,http://112.132.10.54:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-6,http://112.132.10.54:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-7,http://php.cqshushu.ggff.net/jzb.php?id=cctv7&公众号【医工学习日志】$订阅源
CCTV-7,http://124.116.183.146:9901/tsfile/live/0007_1.m3u8$订阅源
CCTV-7,http://223.241.247.214:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-7,http://116.128.242.83:9901/tsfile/live/0008_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$订阅源
CCTV-7,http://120.238.94.10:9901/tsfile/live/1025_1.m3u8$订阅源
CCTV-7,http://112.27.235.94:8000/hls/8/index.m3u8$订阅源
CCTV-7,http://112.132.10.54:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-7,http://61.156.228.12:8154/tsfile/live/0007_1.m3u8$订阅源
CCTV-8,http://php.cqshushu.ggff.net/jzb.php?id=cctv8&公众号【医工学习日志】$订阅源
CCTV-8,http://183.215.134.239:19901/tsfile/live/0008_1.m3u8$订阅源
CCTV-8,http://124.116.183.146:9901/tsfile/live/0008_1.m3u8$订阅源
CCTV-8,http://223.241.247.214:9901/tsfile/live/0008_1.m3u8$订阅源
CCTV-8,http://222.169.85.8:9901/tsfile/live/0008_1.m3u8$订阅源
CCTV-8,http://116.128.242.83:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-8,http://120.238.94.10:9901/tsfile/live/1026_1.m3u8$订阅源
CCTV-8,http://112.27.235.94:8000/hls/9/index.m3u8$订阅源
CCTV-9,http://php.cqshushu.ggff.net/jzb.php?id=cctv9&公众号【医工学习日志】$订阅源
CCTV-9,http://61.184.46.85:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-9,http://61.184.46.85:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-9,http://124.116.183.146:9901/tsfile/live/0009_1.m3u8?key=tvbox6_com&playlive=1&authid=0$订阅源
CCTV-9,http://222.169.85.8:9901/tsfile/live/0009_1.m3u8?key=txiptv$订阅源
CCTV-9,http://116.128.242.83:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-9,http://120.238.94.10:9901/tsfile/live/1027_1.m3u8$订阅源
CCTV-9,http://124.128.73.58:9901/tsfile/live/0009_1.m3u8?key=txiptv$订阅源
CCTV-10,http://php.cqshushu.ggff.net/jzb.php?id=cctv10&公众号【医工学习日志】$订阅源
CCTV-10,http://124.116.183.146:9901/tsfile/live/0010_1.m3u8$订阅源
CCTV-10,http://223.241.247.214:9901/tsfile/live/0010_1.m3u8$订阅源
CCTV-10,http://222.169.85.8:9901/tsfile/live/0010_1.m3u8$订阅源
CCTV-10,http://116.128.242.83:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-10,http://183.237.95.108:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-10,http://183.237.95.108:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-10,http://120.238.94.10:9901/tsfile/live/1028_1.m3u8$订阅源
CCTV-11,http://php.cqshushu.ggff.net/jzb.php?id=cctv11&公众号【医工学习日志】$订阅源
CCTV-11,http://124.116.183.146:9901/tsfile/live/0011_1.m3u8?key=tvbox6_com&playlive=1&authid=0$订阅源
CCTV-11,http://223.241.247.214:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-11,http://222.169.85.8:9901/tsfile/live/0011_1.m3u8?key=txiptv$订阅源
CCTV-11,http://116.128.242.83:9901/tsfile/live/0012_1.m3u8$订阅源
CCTV-11,http://183.237.95.108:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-11,http://120.238.94.10:9901/tsfile/live/1029_1.m3u8$订阅源
CCTV-11,http://124.128.73.58:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-12,http://222.169.85.8:9901/tsfile/live/0012_1.m3u8$订阅源
CCTV-12,http://116.128.242.83:9901/tsfile/live/0013_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$订阅源
CCTV-12,http://120.238.94.10:9901/tsfile/live/1030_1.m3u8$订阅源
CCTV-12,http://124.128.73.58:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-12,http://112.27.235.94:8000/hls/13/index.m3u8$订阅源
CCTV-12,http://61.156.228.12:8154/tsfile/live/0012_1.m3u8$订阅源
CCTV-12,http://pa.kuangdeng.top:8081/hls/12/index.m3u8$订阅源
CCTV-12,http://42.225.117.174:11199/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-13,http://php.cqshushu.ggff.net/jzb.php?id=cctv13&公众号【医工学习日志】$订阅源
CCTV-13,https://60.191.56.186:8888/hls/13/index.m3u8$订阅源
CCTV-13,https://60.191.56.186:8888/hls/13/index.m3u8$订阅源
CCTV-13,http://61.184.46.85:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-13,http://183.215.134.239:19901/tsfile/live/0013_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$订阅源
CCTV-13,http://124.116.183.146:9901/tsfile/live/0013_1.m3u8$订阅源
CCTV-13,http://223.241.247.214:9901/tsfile/live/0013_1.m3u8$订阅源
CCTV-13,http://222.169.85.8:9901/tsfile/live/0013_1.m3u8$订阅源
CCTV-14,http://php.cqshushu.ggff.net/jzb.php?id=cctv14&公众号【医工学习日志】$订阅源
CCTV-14,http://124.116.183.146:9901/tsfile/live/0014_1.m3u8$订阅源
CCTV-14,http://222.169.85.8:9901/tsfile/live/0014_1.m3u8?key=txiptv$订阅源
CCTV-14,http://116.128.242.83:9901/tsfile/live/0015_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$订阅源
CCTV-14,http://60.16.0.216:5757/hls/15/index.m3u8$订阅源
CCTV-14,http://183.237.95.108:9901/tsfile/live/1096_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-14,http://112.27.235.94:8000/hls/15/index.m3u8$订阅源
CCTV-14,http://112.132.10.54:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-15,https://60.191.56.186:8888/hls/14/index.m3u8$订阅源
